Query,Passage,Method,Judge_1,Judge_2,Judge_3,Final
oroville-dam-located-on-terrain-feature-feather-river.txt,"...Since the 1960s, the river has provided water to central and southern California, as the main source of water for the California State Water Project.  Its water is also used for hydroelectricity generation. The Feather is unique in that two of its tributaries, the North Fork and Middle Fork, originate east of the Sierra Nevada in the Diamond Mountains  and breach the crest of the Sierras as they flow west. Course The river rises in four main forks in the Sierra Nevada which unite as arms of the Lake Oroville reservoir in the foothills northeast of Oroville  in eastern Butte County  ....",baseline,relevant,non-relevant,relevant,relevant
oroville-dam-located-on-terrain-feature-feather-river.txt,"...  North Fork Feather River:   Intro , including the West Fork but not  http://cfpub. epa. gov/surf/huc. cfm?huc_code=18020122 East Branch Watershed | source_confluence = Rice Creek  South Arm Rice Creek| source_confluence_location = Feather River Meadows | source_confluence_region =| source_confluence_elevation_imperial =| source_confluence_elevation_note =| source_confluence_coordinates_note =| mouth_name = Lake Oroville, North Arm A | mouth_location =| mouth_region =| mouth_coordinates_note =| mouth_elevation_imperial =| mouth_elevation_note =| length_imperial = 70| discharge_location = mouth at north arm, Lake Oroville; max and min at Pulga  | discharge_imperial = 2930| discharge_max_imperial = 105400| discharge_min_imperial = 5....",baseline,partial,non-relevant,non-relevant,non-relevant
oroville-dam-located-on-terrain-feature-feather-river.txt,"...  Lake Oroville:    Intro:  Lake Oroville is a reservoir formed by the Oroville Dam impounding the Feather River, located in Butte County  , northern California.  The lake is situated northeast of the city of Oroville  , within the Lake Oroville State Recreation Area, in the western foothills of the Sierra Nevada  .  Known as the second-largest reservoir in California, Lake Oroville is treated as a keystone facility within the California State Water Project by storing water, providing flood control, recreation, freshwater releases assist in controlling the salinity intrusion Sacramento-San Joaquin Delta and protecting fish and wildlife....",proposed,relevant,non-relevant,relevant,relevant
oroville-dam-located-on-terrain-feature-feather-river.txt,"...The Feather is unique in that two of its tributaries, the North Fork and Middle Fork, originate east of the Sierra Nevada in the Diamond Mountains  and breach the crest of the Sierras as they flow west. Course The river rises in four main forks in the Sierra Nevada which unite as arms of the Lake Oroville reservoir in the foothills northeast of Oroville  in eastern Butte County  .  In terms of drainage areas the largest is the North Fork, which drains about 60% of the entire upper Feather River watershed.  The Middle Fork is the second largest, draining about 32% of the upper basin....",baseline_with_expansion,relevant,relevant,partial,relevant
oroville-dam-located-on-terrain-feature-feather-river.txt,"...  Oroville, California:    Tourism:  The Oroville Dam is one of the 20 largest dams in the world, the largest earth filled dam in the US, and the tallest dam in the US.  This dam is 770 feet  tall and 6920 feet  long, and it impounds Lake Oroville, which has a capacity of of water, making it the second largest reservoir in California.  Mother Orange Tree, located in Oroville, is the oldest of all Northern California orange trees.  The Feather River Fish Hatchery raise Chinook salmon and steelhead along the Feather River....",proposed,relevant,relevant,relevant,relevant
oroville-dam-located-on-terrain-feature-feather-river.txt,"...In terms of drainage areas the largest is the North Fork, which drains about 60% of the entire upper Feather River watershed.  The Middle Fork is the second largest, draining about 32% of the upper basin.  The South Fork and the West Branch are much smaller, each drains less than 5% of the upper basin.  The main stem Feather River begins at Oroville Dam, the outlet of Lake Oroville.  From there the river flows generally south across the Sacramento Valley, east of the Sutter Buttes, past Oroville and Yuba City  -Marysville  ....",baseline_with_expansion,relevant,relevant,non-relevant,relevant
oroville-dam-located-on-terrain-feature-feather-river.txt,"...  Oroville, California:    Tourism:   Brad Freeman Bike Trail - a bike trail running along the Feather River up to the dam, down through the city then out to the forebay and afterbay.  Oroville Chinese Temple - built in 1863 by members of the Chinese Popular Religion  . The Oroville Municipal Airport is located south of State Route 162  west of State Route 70  . ...",proposed,non-relevant,relevant,non-relevant,non-relevant
oroville-dam-located-on-terrain-feature-feather-river.txt,"...The lake is situated northeast of the city of Oroville  , within the Lake Oroville State Recreation Area, in the western foothills of the Sierra Nevada  .  Known as the second-largest reservoir in California, Lake Oroville is treated as a keystone facility within the California State Water Project by storing water, providing flood control, recreation, freshwater releases assist in controlling the salinity intrusion Sacramento-San Joaquin Delta and protecting fish and wildlife. The lake is a popular nationally renowned bass  fishing location, while coho salmon are stocked from the Feather River Fish Hatchery....",baseline_with_expansion,non-relevant,non-relevant,partial,non-relevant
oroville-dam-located-on-terrain-feature-feather-river.txt,"...  Lake Oroville:   Intro Lake Oroville is a reservoir formed by the Oroville Dam impounding the Feather River, located in Butte County  , northern California.  The lake is situated northeast of the city of Oroville  , within the Lake Oroville State Recreation Area, in the western foothills of the Sierra Nevada  ....",baseline_with_expansion,relevant,relevant,non-relevant,relevant
oroville-dam-located-on-terrain-feature-feather-river.txt,"...  Lake Oroville:   Intro Lake Oroville is a reservoir formed by the Oroville Dam impounding the Feather River, located in Butte County  , northern California.  The lake is situated northeast of the city of Oroville  , within the Lake Oroville State Recreation Area, in the western foothills of the Sierra Nevada  ....",baseline,relevant,relevant,relevant,relevant
oroville-dam-located-on-terrain-feature-feather-river.txt,"...Since the 1960s, the river has provided water to central and southern California, as the main source of water for the California State Water Project.  Its water is also used for hydroelectricity generation. The Feather is unique in that two of its tributaries, the North Fork and Middle Fork, originate east of the Sierra Nevada in the Diamond Mountains  and breach the crest of the Sierras as they flow west. Course The river rises in four main forks in the Sierra Nevada which unite as arms of the Lake Oroville reservoir in the foothills northeast of Oroville  in eastern Butte County  ....",baseline_with_expansion,relevant,non-relevant,partial,non-relevant
oroville-dam-located-on-terrain-feature-feather-river.txt,"...  Lake Oroville:    History:   Prior to impoundment by the Oroville Dam, the current main basin of Lake Oroville  was the location of the confluence of the North Fork Feather River with the Feather River  and the now-inundated towns of Bidwell   and Land  .  Completed in 1968, Oroville Dam is an earthen dam  and is the tallest dam located in the United States, measuring over 770 feet  high and 6,920 feet  across.  The dam was the largest earth-fill dam in the world until succeeded by Aswan High Dam in Egypt....",proposed,relevant,relevant,relevant,relevant
hacksaw-ridge-film-editor-john-gilbert.txt,...  BAFTA Award for Best Editing:    2010s:  2016: Hacksaw Ridge – John Gilbert   Arrival  – Joe Walker   La La Land  – Tom Cross   Manchester by the Sea  – Jennifer Lame Nocturnal Animals – Joan Sobel 2015: Mad Max: Fury Road – Margaret Sixel The Big Short  – Hank Corwin Bridge of Spies  – Michael Kahn   The Martian  – Pietro Scalia The Revenant  – Stephen Mirrione 2014: Whiplash  – Tom Cross   Birdman  – Douglas Crise and Stephen Mirrione The Grand Budapest Hotel – Barney Pilling The Imitation Game – William Goldenberg Nightcrawler  – John Gilroy   The Theory of Everything  – Jinx Godfrey 2013: Rush  – Daniel P.  Hanley and Mike Hill   12 Years a Slave  – Joe Walker   Captain Phillips  – Christopher Rouse   Gravity  – Alfonso Cuarón and Mark Sanger The Wolf of Wall Street  – Thelma Schoonmaker 2012: Argo  – William Goldenberg Django Unchained – Fred Raskin Life of Pi  – Tim Squyres Skyfall – Stuart Baird Zero Dark Thirty – Dylan Tichenor and William Goldenberg 2011: Senna  – Gregers Sall and Chris King The Artist  – Anne-Sophie Bion and Michel Hazanavicius Drive  – Matthew Newman Hugo  – Thelma Schoonmaker Tinker Tailor Soldier Spy  – Dino Jonsäter 2010: The Social Network – Kirk Baxter and Angus Wall 127 Hours – Jon Harris   Black Swan  – Andrew Weisblum Inception – Lee Smith   The Kings Speech – Tariq Anwar  ...,proposed,partial,non-relevant,relevant,non-relevant
hacksaw-ridge-film-editor-john-gilbert.txt,"...  Hollywood Film Awards:   Intro The Hollywood Film Awards are an American motion picture award ceremony held annually since 1997, usually in October or November.  The gala ceremony takes place at the Beverly Hilton Hotel  in Beverly Hills, California.  The 2014 ceremony, broadcast by CBS, were the first to be shown on television....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
hacksaw-ridge-film-editor-john-gilbert.txt,"...The 2014 ceremony, broadcast by CBS, were the first to be shown on television....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
hacksaw-ridge-film-editor-john-gilbert.txt,"...  BAFTA Award for Best Editing:   Intro The BAFTA Award for Best Editing is one of several annual awards presented by the British Academy of Film and Television Arts .  The film-voting members of the Academy select the five nominated films in each category; only the principal editor for each film are named, which excludes additional editors, supervising editors, etc.  The actual winner of the Best Editing award is selected by ""Chapter Voting""; only Academy members who are identified as members of the Editing Chapter vote on the winner....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
hacksaw-ridge-film-editor-john-gilbert.txt,"...  St. Louis Gateway Film Critics Association Awards 2016:   Intro 13th SLGFCA Awards  December 18, 2016 ----Best Film: La La Land  ----Best Director: Damien Chazelle La La Land  The nominees for the 13th St.  Louis Film Critics Association Awards were announced on December 12, 2016....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
hacksaw-ridge-film-editor-john-gilbert.txt,...  John Gilbert :    Intro:   He received a New Zealand Screen Award for editing The Worlds Fastest Indian .  He reunited with Hacksaw Ridge director Mel Gibson on the upcoming historical drama The Professor and the Madman  .  Gilbert has been elected to membership in the American Cinema Editors. ...,proposed,relevant,relevant,relevant,relevant
hacksaw-ridge-film-editor-john-gilbert.txt,"...  John Gilbert :   Intro John Gilbert is a film editor who works primarily in New Zealand.  Gilbert has edited 17 feature films as well as television shows and short films.  He won the Academy Award for Best Film Editing and the BAFTA Award for Best Editing, among several honors, for the war drama Hacksaw Ridge ....",baseline_with_expansion,relevant,relevant,relevant,relevant
hacksaw-ridge-film-editor-john-gilbert.txt,"...  John Gilbert :    Intro:   He won the Academy Award for Best Film Editing and the BAFTA Award for Best Editing, among several honors, for the war drama Hacksaw Ridge .  Gilbert had earlier received various accolades for his work on Peter Jacksons The Lord of the Rings: The Fellowship of the Ring , including the Satellite Award for Best Editing and nominations for an Academy Award, a BAFTA Award and the ACE Eddie Award for Best Edited Feature Film – Dramatic  . John Gilberts first position in film was with Government filmmaking body The National Film Unit, in his native New Zealand....",proposed,relevant,relevant,relevant,relevant
hacksaw-ridge-film-editor-john-gilbert.txt,"...  BAFTA Award for Best Editing:   Intro The BAFTA Award for Best Editing is one of several annual awards presented by the British Academy of Film and Television Arts .  The film-voting members of the Academy select the five nominated films in each category; only the principal editor for each film are named, which excludes additional editors, supervising editors, etc.  The actual winner of the Best Editing award is selected by ""Chapter Voting""; only Academy members who are identified as members of the Editing Chapter vote on the winner....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
hacksaw-ridge-film-editor-john-gilbert.txt,"...  John Gilbert :    Intro:   Gilbert received a ""Best Editing"" award from the New Zealand Film and Television Awards for comedy drama film Via Satellite .  He received a New Zealand Screen Award for editing The Worlds Fastest Indian .  He reunited with Hacksaw Ridge director Mel Gibson on the upcoming historical drama The Professor and the Madman  ....",proposed,relevant,relevant,relevant,relevant
hacksaw-ridge-film-editor-john-gilbert.txt,"...  St. Louis Gateway Film Critics Association Awards 2016:   Intro 13th SLGFCA Awards  December 18, 2016 ----Best Film: La La Land  ----Best Director: Damien Chazelle La La Land  The nominees for the 13th St.  Louis Film Critics Association Awards were announced on December 12, 2016....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
hacksaw-ridge-film-editor-john-gilbert.txt,"...  Hollywood Film Awards:   Intro The Hollywood Film Awards are an American motion picture award ceremony held annually since 1997, usually in October or November.  The gala ceremony takes place at the Beverly Hilton Hotel  in Beverly Hills, California.  The 2014 ceremony, broadcast by CBS, were the first to be shown on television....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
hacksaw-ridge-film-editor-john-gilbert.txt,"...  John Gilbert :   Intro John Gilbert is a film editor who works primarily in New Zealand.  Gilbert has edited 17 feature films as well as television shows and short films.  He won the Academy Award for Best Film Editing and the BAFTA Award for Best Editing, among several honors, for the war drama Hacksaw Ridge ....",baseline,relevant,relevant,relevant,relevant
hacksaw-ridge-film-editor-john-gilbert.txt,"...The 2014 ceremony, broadcast by CBS, were the first to be shown on television....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
hacksaw-ridge-film-editor-john-gilbert.txt,...  St. Louis Gateway Film Critics Association Awards 2016:    Best Editing:  Jackie  - Sebastián Sepúlveda Runner-up : Hacksaw Ridge - John Gilbert   Runner-up : La La Land  - Tom Cross   Moonlight  - Joi McMillon and Nat Sanders Nocturnal Animals - Joan Sobel ...,proposed,relevant,relevant,relevant,relevant
h.-r.-mcmaster-educated-at-united-states-military-academy.txt,"...Watson. History During World War II when schools were allowed to reopen, a McKinley Annex  was started in Kaimuki Intermediate School for sophomores and juniors residing in that part of the city.  These students went to school in the afternoon from 12:20 nbsp;p. m.  to 5:00 nbsp;p. m.  In September 1943, the McKinley Annex became Kaimuki High School.  The student government was established along democratic lines.  A constitution written cooperatively was adopted by the student body in 1944....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
h.-r.-mcmaster-educated-at-united-states-military-academy.txt,"...  H. R. McMaster:   Intro Herbert Raymond ""H.  R. "" McMaster  is a United States Army officer and currently the U. S.  National Security Advisor  .  His immediate past military assignment was as Director of the Army Capabilities Integration Center  , and Deputy Commanding General, Futures of the U. S.  Army Training and Doctrine Command  ....",baseline,partial,relevant,partial,partial
h.-r.-mcmaster-educated-at-united-states-military-academy.txt,"...  Michael Frank Goodchild:   Intro Michael Frank Goodchild  is a British-American geographer.  He is an Emeritus Professor of Geography at the University of California, Santa Barbara.  After nineteen years at the University of Western Ontario, including three years as chair, he moved to Santa Barbara in 1988, as part of the establishment of the National Center for Geographic Information and Analysis, which he directed for over 20 years....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
h.-r.-mcmaster-educated-at-united-states-military-academy.txt,"...  Peter Mansoor:   Intro Peter R.  Mansoor  is a former United States Army officer and a military historian.  He is known primarily as the executive officer to General David Petraeus during the Iraq War, particularly the Iraq War troop surge of 2007.  He is an associate professor at the Ohio State University, where he holds the Raymond E.  Mason, Jr.  Chair of Military History. Mansoor has published two memoirs of his service in Iraq....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
h.-r.-mcmaster-educated-at-united-states-military-academy.txt,"...  H. R. McMaster:    Early life and education:   He went to high school at Valley Forge Military Academy, graduating in 1980.  He earned a commission as a second lieutenant upon graduating from the United States Military Academy at West Point in 1984.  McMaster earned a Master of Arts and Ph. D....",proposed,relevant,relevant,relevant,relevant
h.-r.-mcmaster-educated-at-united-states-military-academy.txt,"...His thesis was critical of American strategy in the Vietnam War, which was further detailed in his 1997 book Dereliction of Duty  . Military career His first assignment after commissioning was to the 2nd Armored Division  at Fort Hood, where he served in a variety of platoon and company  level leadership assignments with 1st Battalion 66th Armor Regiment  ....",baseline,non-relevant,relevant,non-relevant,non-relevant
h.-r.-mcmaster-educated-at-united-states-military-academy.txt,"...2nd Armored Division }} at Fort Hood, where he served in a variety of platoon and company  level leadership assignments with 1st Battalion 66th Armor Regiment  .  In 1989, McMaster was assigned to the 2nd Armored Cavalry Regiment at Warner Barracks in Bamberg, Germany, where he served until 1992, including deployment to Operation Desert Storm....",baseline,non-relevant,relevant,non-relevant,non-relevant
h.-r.-mcmaster-educated-at-united-states-military-academy.txt,"...That same year the surrounding holiness  community became Nazarene  and, as its church base swelled, the school’s financial problems ""proved less threatening than those at other institutions. "" The school eventually changed its name in 1918 to Oklahoma Nazarene College, when the first Nazarene Educational Regions were established.  When Peniel College merged with Oklahoma Nazarene College in 1920, the name changed to Bethany-Peniel College.  Peniel was the first of four fellow Nazarene institutions that would be absorbed by the Oklahoma school.  The second institution was Central Nazarene College, another Nazarene school in Texas, in 1929....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
h.-r.-mcmaster-educated-at-united-states-military-academy.txt,"...  James C. Adamson:    Education:   Army at United States Military Academy at West Point, New York in 1969.  In 1977, he completed a Master of Science degree in Aerospace Engineering at Princeton University.  In 2010, he completed his Chartered Director certification, graduating from The Directors College ....",proposed,non-relevant,non-relevant,relevant,non-relevant
h.-r.-mcmaster-educated-at-united-states-military-academy.txt,"...  Alumnus:   Intro An alumnus , an alumna , or an alumnum  is a former student, and commonly a graduate, of a school, college, or university.  An alumnus can also be a former member, employee, contributor, or inmate, as well as a former student. Etymology The Latin noun alumnus means ""foster son, pupil"" and is derived from the verb alere ""to nourish"".  The word alumnus appears in Roman law to describe a child placed in fosterage....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
h.-r.-mcmaster-educated-at-united-states-military-academy.txt,"...  H. R. McMaster:    Early life and education:   He earned a commission as a second lieutenant upon graduating from the United States Military Academy at West Point in 1984.  McMaster earned a Master of Arts and Ph. D.   in American history from the University of North Carolina at Chapel Hill .  His thesis was critical of American strategy in the Vietnam War, which was further detailed in his 1997 book Dereliction of Duty  . ...",proposed,relevant,relevant,relevant,relevant
h.-r.-mcmaster-educated-at-united-states-military-academy.txt,"...The university is a member-school of the University of Louisiana System and Thurgood Marshall College Fund. History Grambling State was founded in 1901 and accredited in 1949.  The school became Grambling College in 1946 named after a white sawmill owner, Judson H.  Grambling, who donated a parcel of land for the school to be constructed.  With the addition of graduate departments, Grambling gained university status in 1974.  Grambling State University emerged from the desire of African-American farmers in rural north Louisiana who wanted to educate other African Americans in the northern part of the state....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
h.-r.-mcmaster-educated-at-united-states-military-academy.txt,"...Kaimuki High School falls under the jurisdiction of the Hawaii Department of Education.  It is bordered by the Manoa-Palolo Drainage Canal, Kapiolani Boulevard, Kaimuki Avenue, Crane Park and Date Street.  It is, as its alma mater states, in view of Diamond Head.  The campus boasts the sculpture Pueo  by Charles W.  Watson. History During World War II when schools were allowed to reopen, a McKinley Annex  was started in Kaimuki Intermediate School for sophomores and juniors residing in that part of the city.  These students went to school in the afternoon from 12:20 nbsp;p....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
h.-r.-mcmaster-educated-at-united-states-military-academy.txt,"...  Valley Forge Military Academy and College:    Military:   Lord, Major General, United States Army  Herbert Raymond McMaster  - Current National Security Advisor.  Lieutenant General, United States Army: historian, author, and former commander of the 3rd Armored Cavalry Regiment  during Operation Iraqi Freedom Harry J....",proposed,non-relevant,non-relevant,relevant,non-relevant
h.-r.-mcmaster-position-held-national-security-advisor.txt,"...  K. T. McFarland:    Trump administration:   While morale is higher in the NSC with McMaster, McFarland has been seen as a weak deputy internally, according to an NSC source. "" On April 9, 2017 it was reported that McFarland had been asked to step down from her position as Deputy National Security Advisor, after less than 3 months in it, and had been offered a position as the United States Ambassador to Singapore.  The move came about as the result of the desires of both McMaster and U. S....",proposed,relevant,non-relevant,partial,non-relevant
h.-r.-mcmaster-position-held-national-security-advisor.txt,"...As a result she has sometimes been thought of as a Kissinger protégée, but this is not a consistent view.  After the Ford administration left office, and with a desire as she later said to be ""taken really seriously,"" Troia by dint of a scholarship studied at Oxford University.  There, The New York Times inaccurately says, she earned a combined masters degree in Politics, Philosophy, and Economics.  More accurately, it was a combined bachelors degree.  Then she went to the Massachusetts Institute of Technology where she undertook concentrations on nuclear weapons, China, and the Soviet Union....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
h.-r.-mcmaster-position-held-national-security-advisor.txt,"...Since its inception under Harry S.  Truman, the function of the Council has been to advise and assist the president on national security and foreign policies.  The Council also serves as the presidents principal arm for coordinating these policies among various government agencies.  The Council has counterparts in the national security councils of many other nations. History The National Security Council was created in 1947 by the National Security Act  ....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
h.-r.-mcmaster-position-held-national-security-advisor.txt,"...He went to high school at Valley Forge Military Academy, graduating in 1980.  He earned a commission as a second lieutenant upon graduating from the United States Military Academy at West Point in 1984.  McMaster earned a Master of Arts and Ph. D.   in American history from the University of North Carolina at Chapel Hill .  His thesis was critical of American strategy in the Vietnam War, which was further detailed in his 1997 book Dereliction of Duty  . Military career His first assignment after commissioning was to the 2nd Armored Division {{ U. S....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
h.-r.-mcmaster-position-held-national-security-advisor.txt,"...His thesis was critical of American strategy in the Vietnam War, which was further detailed in his 1997 book Dereliction of Duty  . Military career His first assignment after commissioning was to the 2nd Armored Division  at Fort Hood, where he served in a variety of platoon and company  level leadership assignments with 1st Battalion 66th Armor Regiment  ....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
h.-r.-mcmaster-position-held-national-security-advisor.txt,"...  MacMaster :    Intro:   McMaster  an American soldier and National Security Advisor designate to the US President Donald Trump James McMaster 19th-century American newspaper editor, changed spelling from MacMaster to appeal to Irish readers Ken MacMaster , Canadian politician Mary Macmaster , Scottish musician Natalie MacMaster , Canadian fiddler Sherman McMaster , American outlaw and law-enforcement officer  McMaster , District Judge in the 179th Criminal Court in Harris County, Texas H....",proposed,relevant,non-relevant,relevant,relevant
h.-r.-mcmaster-position-held-national-security-advisor.txt,...These aides oversee the political and policy interests of the president and do not require Senate confirmation for appointment.  They can be removed at the discretion of the president  History Established in the Executive Office of the President by Reorganization Plan 1 of 1939 and to provide assistance to the President in the performance of his many detailed activities incident to his immediate office.  The White House Office is organized in accordance with the wishes of each incumbent President and is directed by staff chosen by the President....,baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
h.-r.-mcmaster-position-held-national-security-advisor.txt,"...  H. R. McMaster:    Intro:  Herbert Raymond ""H.  R. "" McMaster  is a United States Army officer and currently the U. S.  National Security Advisor  ....",proposed,relevant,relevant,relevant,relevant
h.-r.-mcmaster-position-held-national-security-advisor.txt,"...The White House Office is organized in accordance with the wishes of each incumbent President and is directed by staff chosen by the President.  A staff authorization was initially established in 1978 .  Some presidential boards, committees, and commissions function organizationally as subunits of the White House Office....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
h.-r.-mcmaster-position-held-national-security-advisor.txt,...  Presidency of Donald Trump:    Notable non-Cabinet positions:  White House staff Chief Strategist   Steve Bannon   Counselor to the President Kellyanne Conway   Senior Advisor to the President   Stephen Miller    Jared Kushner   Deputy Chiefs of Staff   Katie Walsh    Joe Hagin   Rick Dearborn   Press Secretary   Sean Spicer   Communications Director   Sean Spicer  Michael Dubke  Director of Strategic Communications   Hope Hicks   Security and international affairs National Security Advisor   Mike Flynn    Keith Kellogg  Herbert Raymond McMaster    Homeland Security Advisor Tom Bossert   Director of the FBI   James Comey 1      Domestic affairs Chair of the Council of Economic Advisers Vacant  Chair of the Securities and Exchange Commission {{ U. S....,proposed,relevant,relevant,relevant,relevant
h.-r.-mcmaster-position-held-national-security-advisor.txt,...  Ezra Cohen-Watnick:   Intro Ezra Asa Cohen-Watnick  is the Senior Director for Intelligence Programs for the United States National Security Council . Early life and career Cotnick-Watnick was born to Marc Cohen and Terry Watnick....,baseline_with_expansion,non-relevant,non-relevant,relevant,non-relevant
h.-r.-mcmaster-position-held-national-security-advisor.txt,"...  Keith Kellogg:   Intro Joseph Keith Kellogg Jr.  , known as Keith Kellogg, is a retired Lieutenant General  in the United States Army who is currently serving as the Chief of Staff of the United States National Security Council in the Trump administration  ....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
h.-r.-mcmaster-position-held-national-security-advisor.txt,"...  Keith Kellogg:   Intro Joseph Keith Kellogg Jr.  , known as Keith Kellogg, is a retired Lieutenant General  in the United States Army who is currently serving as the Chief of Staff of the United States National Security Council in the Trump administration  ....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
h.-r.-mcmaster-position-held-national-security-advisor.txt,"...As a result she has sometimes been thought of as a Kissinger protégée, but this is not a consistent view.  After the Ford administration left office, and with a desire as she later said to be ""taken really seriously,"" Troia by dint of a scholarship studied at Oxford University.  There, The New York Times inaccurately says, she earned a combined masters degree in Politics, Philosophy, and Economics.  More accurately, it was a combined bachelors degree.  Then she went to the Massachusetts Institute of Technology where she undertook concentrations on nuclear weapons, China, and the Soviet Union....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
h.-r.-mcmaster-position-held-national-security-advisor.txt,...  White House Office:    Office of the National Security Advisor:   McMaster  Assistant to the President and Deputy National Security Advisor: K.  T.  McFarland  Assistant to the President for Homeland Security And Counterterrorism  and Deputy National Security Advisor: Thomas Bossert   Assistant to the President and Deputy National Security Advisor for Strategy: Dina Powell  McMaster  Assistant to the President and Deputy National Security Advisor: K....,proposed,relevant,relevant,relevant,relevant
adele-award-received-brit-award-for-british-female-solo-artist.txt,"...  Adele:    2015–present: 25 and Adele Live 2016:   Her North American Tour began in July, with the opening concert in St.  Paul, Minnesota on 5 July.  At the 2016 Brit Awards in London on 24 February, Adele received the awards for British Female Solo Artist, British Album of the Year for 25, British Single of the Year for ""Hello"", and British Global Success, bringing her Brit Award wins to eight.  She closed the ceremony by performing ""When We Were Young  "", the second single from 25....",proposed,relevant,relevant,relevant,relevant
adele-award-received-brit-award-for-british-female-solo-artist.txt,"...  Adele:   Intro | signature = Adele Signature. svg}}Adele Laurie Blue Adkins  is an English singer-songwriter.  After graduating from the BRIT School for Performing Arts and Technology in 2006, Adele was given a recording contract by XL Recordings after a friend posted her demo on Myspace the same year.  In 2007, she received the Brit Awards ""Critics Choice"" award and won the BBC Sound of 2008 poll.  Her debut album, 19  , was released in 2008 to commercial and critical success....",baseline,relevant,relevant,relevant,relevant
adele-award-received-brit-award-for-british-female-solo-artist.txt,"...She is the recipient of nine Brit Awards, an Academy Award, a Golden Globe Award, fifteen Grammy Awards, eighteen Billboard Music Awards  , five American Music Awards, and two Ivor Novello Awards for Songwriter of the Year. Adele signed a contract with the record label XL Recordings in September 2006.  She won the BBC Sound of 2008  , an annual poll awarded to recognise newcomers in the music industry.  Later in the same year, she released her debut album 19  , and won the Brit Awards for Critics Choice.  Several singles were released from the album, including the Grammy Award for Best Female Pop Vocal Performance-winning song ""Chasing Pavements"", which also garnered an MTV Video Music Award for Best Choreography nomination....",baseline,relevant,relevant,partial,relevant
adele-award-received-brit-award-for-british-female-solo-artist.txt,"...""Someone like You"" and ""Set Fire to the Rain"" won Best Pop Solo Performance  at the 54th  and 55th Annual Grammy Awards, respectively.  Adele was awarded several other accolades, including the Echo Music Award and Grammy Award  for Album of the Year, and won in 12 Billboard Music Award  categories....",baseline,partial,non-relevant,non-relevant,non-relevant
adele-award-received-brit-award-for-british-female-solo-artist.txt,...  List of awards and nominations received by Kate Bush:   Intro This is a list of music awards and award nominations received by the English singer/songwriter Kate Bush....,baseline,relevant,non-relevant,non-relevant,non-relevant
adele-award-received-brit-award-for-british-female-solo-artist.txt,"...  List of awards and nominations received by Adele:    Brit Awards:   Adele has received nine awards from fourteen nominations.  ! |-!scope=""row""| 2008  | rowspan=""3""|Adele| Critics Choice| | style=""text-align:center;""| |-!scope=""row"" rowspan=""3""|2009  | British Female Solo Artist| | rowspan=""3"" style=""text-align:center;""| |-| British Breakthrough Act  | |-|""Chasing Pavements""| British Single of the Year| |-!scope=""row"" rowspan=""3""|2012  | Adele| British Female Solo Artist| | rowspan=""3"" style=""text-align:center;""| |-| ""Someone like You""| British Single of the Year| |-| 21| British Album of the Year| |-!scope=""row""| 2013  | ""Skyfall""| British Single of the Year| | style=""text-align:center;""| |-!scope=""row"" rowspan=""5""|2016  |rowspan=""2""| Adele| British Female Solo Artist| | rowspan=""5"" style=""text-align:center;"" | |-| Global Success Award| |-| 25| British Album of the Year| |-|rowspan=""2""| ""Hello  ""| British Single of the Year|rowspan |-| British Artist Video Of The Year| |-!scope=""row""| 2017  | Adele| Global Success Award| | align=""center""| |}  Adele has received nine awards from fourteen nominations. ...",proposed,relevant,relevant,relevant,relevant
